Control_1	Control_2	Control_3	FeD-1	FeD-2	FeD-3	FeE-1	FeE-2	FeE-3
2558006937	1084	1019	1379	1379	2043	1454	1182	977	1004
2558006938	213	238	346	312	417	350	246	242	267
2558006939	249	333	432	432	527	564	473	407	388
2558006940	412	477	690	565	801	751	745	658	658
2558006941	1032	1068	1480	1500	2190	2741	1454	939	1052
2558006942	2	3	6	4	9	9	5	6	5
2558006943	3	3	1	4	6	12	6	5	8
2558006944	199	189	282	331	490	498	332	261	230
2558006945	53	80	75	147	381	114	73	92	94
2558006946	23	44	31	72	207	45	24	23	23
2558006947	21	27	21	35	146	26	19	21	18
2558006948	214	241	438	377	497	423	384	243	260
2558006949	91	104	165	101	151	121	135	106	92
2558006950	93	75	121	122	154	141	150	134	80
2558006951	41	31	25	34	57	39	40	31	12
2558006952	13	19	19	15	23	27	11	16	6
2558006953	24	24	51	34	27	37	36	34	38
2558006954	29	18	21	28	23	29	15	27	19
2558006955	122	110	217	114	132	142	138	119	100
2558006956	218	266	438	357	372	438	426	323	310
2558006957	229	229	523	338	373	473	472	410	363
2558006958	61	88	126	100	102	133	103	81	60
2558006959	82	107	113	77	52	116	48	16	13
2558006960	40	56	76	49	24	46	16	8	16
2558006961	134	165	172	117	64	149	60	31	17
2558006962	98	108	148	120	167	177	101	59	50
2558006963	105	138	194	183	145	235	65	34	38
2558006964	332	323	485	406	475	329	261	148	156
2558006965	158	158	250	210	244	212	186	100	89
2558006966	36	58	79	43	43	39	69	41	27
2558006967	9	13	28	19	19	21	16	17	22
2558006968	89	139	114	96	50	105	51	14	15
2558006969	49	65	76	60	30	50	21	3	3
2558006970	47	50	77	60	56	74	52	29	25
2558006971	70	71	113	126	142	120	88	50	80
2558006972	15	19	19	15	17	21	6	8	9
2558006973	721	777	985	525	571	748	363	178	177
2558006974	123	121	154	89	87	120	61	71	48
2558006975	1080	1097	1651	1713	1684	2100	1395	1236	1039
2558006976	725	850	1176	1471	1222	1766	937	823	689
2558006977	213	239	251	351	349	310	244	213	191
2558006978	40	50	48	31	44	53	45	46	31
2558006979	212	231	278	346	417	362	266	322	327
2558006980	351	342	471	512	672	884	476	376	418
2558006981	107	83	140	141	200	88	72	208	195
2558006982	179	152	280	226	363	145	142	379	281
2558006983	307	314	559	423	630	265	262	784	651
2558006984	2	3	3	0	1	0	0	0	1
2558006985	0	0	0	0	0	0	0	0	0
