"query"	"subject"	"identity"	"length"	"slength"	"qlength"
"2558006940"	"2558007328"	32.12	330	354	342
"2558006951"	"2558013091"	81.56	244	264	266
"2558006954"	"2558012375"	63.41	123	126	127
"2558006957"	"2558007846"	39.33	417	433	397
"2558006975"	"2558012049"	40.82	414	434	427
"2558006982"	"2558012527"	67.77	242	270	297
"2558006984"	"2558010987"	100	72	89	72
"2558006996"	"2558006997"	44.9	98	100	101
"2558007009"	"2558012710"	47.21	466	450	473
"2558007014"	"2558012386"	74.33	335	341	339
"2558007016"	"2558012102"	63.81	829	851	850
"2558007029"	"2558011107"	47.1	552	608	596
"2558007030"	"2558012092"	66.67	159	159	195
"2558007031"	"2558012301"	40.7	172	194	186
"2558007034"	"2558007611"	83.33	90	101	101
"2558007036"	"2558008145"	44.15	299	349	284
"2558007039"	"2558009031"	33.53	504	626	613
"2558007058"	"2558011673"	32.84	545	629	549
"2558007065"	"2558010014"	44.25	226	254	239
"2558007067"	"2558008892"	32.23	391	463	445
"2558007070"	"2558013262"	50.47	107	115	106
"2558007071"	"2558011106"	31.61	484	606	607
"2558007075"	"2558011268"	39.29	224	267	223
"2558007077"	"2558011628"	100	85	96	91
"2558007080"	"2558012396"	53.1	145	151	146
"2558007081"	"2558009896"	36.22	312	327	321
"2558007098"	"2558013499"	69.81	616	597	618
"2558007107"	"2558012509"	79.55	616	631	627
"2558007108"	"2558009342"	56.45	62	66	66
"2558007111"	"2558008996"	59.53	341	440	410
"2558007115"	"2558012967"	35.7	395	394	398
"2558007128"	"2558013216"	50.6	332	359	356
"2558007147"	"2558009275"	68.57	280	291	282
"2558007159"	"2558013273"	33.61	241	268	261
"2558007166"	"2558007486"	39.68	310	316	317
"2558007169"	"2558009287"	57.26	358	368	350
"2558007170"	"2558009288"	70.34	118	121	121
"2558007171"	"2558009289"	59.64	166	171	176
"2558007172"	"2558009290"	59.95	1106	1183	1142
"2558007179"	"2558009464"	46.94	1110	1234	1201
"2558007180"	"2558007367"	40.85	71	80	77
"2558007182"	"2558007451"	56.14	228	259	283
"2558007184"	"2558007764"	45.54	303	335	342
"2558007198"	"2558010815"	52.32	367	383	387
"2558007199"	"2558012901"	79.43	175	186	185
"2558007200"	"2558009021"	46.29	350	374	383
"2558007216"	"2558010152"	40.64	283	323	291
"2558007218"	"2558011581"	33.79	219	225	238
"2558007221"	"2558008666"	43.22	590	577	570
"2558007227"	"2558009081"	38.55	166	205	182
"2558007233"	"2558012538"	61.24	129	126	132
"2558007234"	"2558008920"	57.59	290	309	303
"2558007244"	"2558013134"	32.03	128	143	128
"2558007247"	"2558008373"	82.64	242	261	270
"2558007256"	"2558012718"	71.47	659	657	720
"2558007262"	"2558010125"	70.37	54	62	64
"2558007269"	"2558010852"	47.39	498	512	506
"2558007271"	"2558009314"	42.56	195	198	211
"2558007276"	"2558010817"	37.64	263	273	279
"2558007277"	"2558010814"	45.1	357	376	370
"2558007285"	"2558010942"	32.39	247	260	263
"2558007296"	"2558013261"	42.76	152	150	169
"2558007306"	"2558010995"	42.58	364	358	361
"2558007310"	"2558011159"	72.59	259	270	275
"2558007311"	"2558011158"	32.27	220	314	307
"2558007312"	"2558011157"	34.28	283	320	321
"2558007314"	"2558008260"	45.48	321	374	366
"2558007336"	"2558010750"	60.5	362	420	408
"2558007341"	"2558011781"	30.23	311	349	339
"2558007343"	"2558008334"	51.61	155	163	159
"2558007349"	"2558012067"	53.5	843	867	856
"2558007362"	"2558010682"	41.65	389	410	393
"2558007376"	"2558013172"	80.83	360	363	361
"2558007378"	"2558009548"	65.53	528	557	529
"2558007381"	"2558011768"	65.84	322	319	335
"2558007389"	"2558012415"	32.16	283	318	306
"2558007415"	"2558010288"	46.47	1530	1555	1546
"2558007425"	"2558010001"	60.87	230	236	254
"2558007434"	"2558008020"	46.94	294	290	292
"2558007435"	"2558011445"	34.91	464	473	490
"2558007444"	"2558011750"	42.25	258	274	266
"2558007454"	"2558012343"	81.28	203	204	204
"2558007461"	"2558013063"	49.37	318	324	326
"2558007462"	"2558013238"	61.67	287	341	335
"2558007467"	"2558011605"	30.43	391	434	434
"2558007475"	"2558007752"	52.61	287	293	289
"2558007488"	"2558009692"	36.24	712	699	673
"2558007516"	"2558011395"	48.21	280	303	317
"2558007542"	"2558010953"	40.29	546	551	545
"2558007548"	"2558008650"	49.11	112	123	111
"2558007551"	"2558013412"	43.55	186	217	197
"2558007555"	"2558010671"	70.21	517	530	529
"2558007576"	"2558011830"	58.4	250	258	249
"2558007577"	"2558012584"	35.35	331	330	327
"2558007579"	"2558009151"	40.19	214	210	222
"2558007582"	"2558013067"	75.81	215	264	247
"2558007586"	"2558010642"	39.84	251	263	254
"2558007587"	"2558010641"	60.61	848	846	843
"2558007624"	"2558009787"	52.9	138	151	150
"2558007625"	"2558012320"	36.9	271	299	288
"2558007633"	"2558010495"	58.92	465	466	470
"2558007634"	"2558007635"	62.72	338	352	341
"2558007641"	"2558013023"	51.27	158	158	159
"2558007642"	"2558009575"	47.22	324	332	325
"2558007644"	"2558011828"	41.73	369	390	405
"2558007647"	"2558010865"	38.21	212	225	217
"2558007659"	"2558010932"	39.8	304	305	309
"2558007663"	"2558008188"	61.84	207	294	288
"2558007683"	"2558009723"	57.5	120	133	130
"2558007684"	"2558012452"	70.09	428	464	468
"2558007700"	"2558009121"	66.71	826	826	838
"2558007702"	"2558011890"	53.07	505	504	500
"2558007705"	"2558012000"	35.09	1382	1465	1609
"2558007710"	"2558013368"	43.41	910	882	923
"2558007716"	"2558011773"	78.1	105	107	108
"2558007718"	"2558007729"	58.86	491	540	454
"2558007720"	"2558010026"	45.76	1204	1198	1191
"2558007726"	"2558010604"	48.94	376	418	416
"2558007727"	"2558008023"	53.46	1025	1056	1085
"2558007734"	"2558008576"	39.69	572	601	592
"2558007750"	"2558011814"	31.83	509	597	617
"2558007756"	"2558010652"	31.56	263	305	278
"2558007766"	"2558010189"	57.59	639	638	603
"2558007776"	"2558011453"	49.62	262	267	264
"2558007778"	"2558009541"	55.25	257	308	258
"2558007780"	"2558009540"	47.06	323	338	342
"2558007781"	"2558013275"	61.9	168	195	180
"2558007795"	"2558010431"	55.51	236	255	269
"2558007796"	"2558008826"	33.56	289	319	281
"2558007797"	"2558013271"	35.73	736	713	780
"2558007801"	"2558009881"	51.89	106	114	110
"2558007803"	"2558009441"	71.43	84	88	105
"2558007832"	"2558008840"	32.25	1203	1336	1277
"2558007850"	"2558008471"	49.77	221	222	219
"2558007861"	"2558011746"	32.3	291	344	330
"2558007862"	"2558011747"	54.76	546	578	561
"2558007863"	"2558011748"	43.28	201	207	203
"2558007867"	"2558009795"	89.8	343	344	344
"2558007868"	"2558009793"	63.07	723	723	722
"2558007869"	"2558009698"	37.39	222	230	231
"2558007875"	"2558010187"	33.45	278	305	316
"2558007881"	"2558009352"	34.1	173	179	174
"2558007898"	"2558012062"	34.72	337	386	362
"2558007900"	"2558013259"	41.74	333	317	327
"2558007907"	"2558011870"	57.14	91	92	93
"2558007915"	"2558008181"	100	70	71	79
"2558007918"	"2558013106"	65.92	1068	1098	1088
"2558007924"	"2558008906"	45.32	139	141	144
"2558007925"	"2558013403"	71.98	828	809	840
"2558007941"	"2558012685"	50.57	615	623	625
"2558007952"	"2558010863"	61.03	213	216	214
"2558007957"	"2558012709"	47.82	1905	2107	1855
"2558007972"	"2558009242"	41.86	516	604	644
"2558007981"	"2558011612"	62.29	358	359	359
"2558007984"	"2558011167"	56.79	280	289	282
"2558007990"	"2558008962"	59.22	255	295	285
"2558008018"	"2558011455"	42.54	134	152	145
"2558008031"	"2558008033"	55.84	308	321	313
"2558008040"	"2558012624"	53.16	237	237	239
"2558008041"	"2558011802"	75	60	69	61
"2558008044"	"2558008231"	70.69	58	62	61
"2558008054"	"2558011104"	38.67	375	381	366
"2558008061"	"2558008230"	67.83	115	139	125
"2558008078"	"2558008079"	77.48	151	153	153
"2558008081"	"2558012479"	50.87	346	343	383
"2558008086"	"2558012398"	49.19	185	194	211
"2558008088"	"2558008898"	48.32	238	258	244
"2558008116"	"2558008253"	30.2	255	324	310
"2558008131"	"2558013138"	50	304	332	328
"2558008137"	"2558009806"	46.43	280	291	305
"2558008162"	"2558012590"	36.39	415	500	401
"2558008168"	"2558010574"	94.87	78	79	79
"2558008184"	"2558011204"	43.12	385	386	389
"2558008189"	"2558012983"	33.95	380	397	391
"2558008201"	"2558011614"	67.14	280	283	281
"2558008202"	"2558011615"	63.75	662	667	669
"2558008203"	"2558011616"	60.53	228	281	279
"2558008204"	"2558011617"	50.45	448	452	442
"2558008213"	"2558008214"	56.14	285	273	290
"2558008215"	"2558012271"	90.74	162	163	163
"2558008216"	"2558012272"	82.56	172	173	173
"2558008218"	"2558012701"	61.48	122	127	129
"2558008222"	"2558012836"	49.6	506	469	507
"2558008226"	"2558009803"	50.66	152	183	160
"2558008238"	"2558009106"	38.58	451	487	472
"2558008241"	"2558010274"	32.77	711	707	680
"2558008255"	"2558009066"	56.37	832	867	868
"2558008256"	"2558012478"	35.1	359	361	352
"2558008258"	"2558009933"	56.23	1316	1310	1246
"2558008273"	"2558012507"	66.56	317	319	320
"2558008278"	"2558010065"	36.41	368	363	389
"2558008285"	"2558008289"	49.21	63	66	68
